spectrum,imaginary
-2252.0,-0.0
-2070.313883209663,866.99870100095
-1564.7602955081752,475.312722009048
-1895.1494530412565,217.52375087391277
-2248.0993176740326,822.9470065705484
-1844.5019531172475,1044.0533346585287
-562.3172774243485,1445.1633171171861
-1048.644474778052,5449.157254821053
9820.80817433922,-1133.6711170341537
12103.68082156943,-146.00795609199076
3616.411364642965,-17501.608651566872
-7227.299245322396,-11516.29368724851
-4720.044022776726,-1598.0288874295618
-5170.279557004882,69.4689590214104
4220.218734865854,6966.0070489277405
24881.99794567779,-10514.031593491252
-14805.081600484802,-7329.846721741741
20761.66432804553,-12242.713218670688
-10721.14570754874,12798.124229755344
26052.37618464251,11555.52963236479
-27195.81280086558,-3853.3757013121513
-9470.641388903208,-473.9208607380091
3311.824556023794,-1031.9339224926362
17631.897913899425,30439.16520340948
-8333.429894699759,-6792.218653638508
1723.4581137305158,10364.079647872499
-2149.10187033525,-870.6557550821005
-4928.551114113072,712.7917555476085
-3874.87524402719,10526.547027465123
-2079.7440500671682,-2082.419518630471
-8554.300079694734,-10162.293620632056
-10600.113788228351,-4394.039665078724
-9063.242083868443,-3129.5981209852716
-9098.64821098997,-4905.901227826584
-3466.535826109326,1909.6508932648792
-10750.00712679424,6725.195517736078
-13467.670455462307,-6615.903520054106
-2267.1343781073165,-20846.52773297137
-4891.432213746501,-878.9801710732545
15406.47676491111,3638.179648765485
-7916.227714484652,-6820.157873144803
-17781.42203274941,8875.117703861537
-1851.8676997502248,-564.1455644266063
-8705.437236410808,1375.441376249637
-11398.515977618157,7252.25644992344
-9787.945478199352,-3234.777556210795
-10391.940233078165,-3206.7059534422137
-2969.779065639411,1261.5217789756339
-7189.121569879268,-15667.640410404061
-33133.856996314455,-10973.224870116508
-15227.570797175329,6994.281306957513
-5594.7075238576745,3916.3839518166405
-8602.712016310623,10665.978158501963
11480.983597879309,22308.62106102462
-11651.371473691013,13828.553647959992
-3627.675283957844,38397.113098246125
-39061.30845528144,-17823.600027870696
-16137.178233610754,18636.089646128006
5019.305622815495,24598.601372982914
-2072.279184640095,23417.18680724864
-2116.6472489326807,33673.30567942643
6101.7943776890625,37165.07691353062
38810.16735766107,39559.39228802216
64594.47286354174,-9046.269597737832
46769.397504278815,-2054.6256502767683
82770.35677714433,-30479.87303275834
-412025.7078890602,-168869.85951861765
-62365.91702959087,40967.58806297583
24196.546986517827,66955.10398218696
35440.13421599828,38279.9193093652
50473.868150956914,24002.989567082128
76047.71986723246,-4414.145380224321
31467.546341757024,-38638.656345570926
-4792.237689696458,-3890.2212365077394
38926.39223213099,21174.436422508978
72331.6140054012,-28949.48540186896
39921.46088807468,-48853.53024496029
21823.555792238098,-27416.06473771722
14634.869118856124,-31128.097293761934
20555.80250476693,-30469.15976965416
30464.776570177208,-25646.764000688017
28048.122068045042,-46586.06925569423
12703.412876330727,-33908.33560950757
-1379.8625662650418,-38504.302668540346
10959.498198671572,-25943.179219986334
20068.03931963799,-33747.16649163115
22428.798025259264,-36070.450606839106
21614.761296451063,-52379.38248435846
3822.4782958459054,-66052.13365522647
-11822.084900647245,-76865.26550008834
-38438.77298222727,-28442.133962802036
9249.768092942486,-35232.364320560475
1748.6144370155957,-59459.528428503254
-36415.8992475634,-64553.48891488404
-26904.62202770712,-56597.84218127477
-60428.56701063791,-45390.41089357663
-14075.431613268769,-28898.22605026574
-21627.025146170905,-38735.71440310811
-20978.393441282395,-38314.77890344073
-30312.62455991818,-70077.4362396496
-67700.11861745096,-30589.84378642035
-57045.50772341175,-38298.78820199849
-57213.909325761306,-16999.222214526028
-55221.75020747994,-43852.6897906348
-51073.829603433864,-33353.888410916974
-52461.27045598928,-9389.061939387502
-34000.96169969723,-48143.3968896836
-56996.23864293768,-69873.39552416456
-123030.0452539192,-57054.72468814485
-138513.49545892008,8055.338100343168
-103076.00186843539,50029.36676338338
-79445.9029185962,53482.1214962705
-40732.875640375474,3882.492559734842
-77187.6842994536,14326.561715799384
-104808.88875528544,38532.658635832966
-94246.38507128702,35532.859327798695
-81576.56760153102,52425.56643401085
-51783.188803348974,46054.24369419409
-102301.02043684415,8374.851803869085
-133201.34530264384,71704.55030436232
-150799.5648710756,85449.70541383847
-105579.12374717751,154751.67668073144
-57365.214166527505,153314.83453349
-45207.167221580356,136267.1444707479
-34301.1385270982,166726.72197166272
-70044.0558888331,187484.6488514645
50368.75542585745,189394.94211957703
6507.898568468549,136991.0069276376
11059.952271915692,155722.44617830784
95.4011731943283,139874.66112187054
-46744.86537337006,182373.5686695536
-3753.897084174494,281029.679491714
108665.47049151217,307628.33713253087
171871.35395067075,188385.40725676395
157078.71284227615,170976.81612732593
86564.82714652334,222094.61057202442
113657.47090488492,235459.76296458632
146087.85670023525,274481.2499043719
281778.59130013676,334775.81705481745
395520.5796028393,218723.4625258987
354458.51522213756,147995.52298473148
438215.46459487465,87820.42105800609
307752.2012921464,13522.019301371014
270559.1427370639,140819.6627216314
393256.22453281446,211760.67457961943
584224.4965165022,136205.0354795269
561172.2517754752,139338.29251284676
531184.3695839068,121075.44191384697
547790.1914047791,304332.2532911324
1322616.0742715716,304960.17080454296
1429679.4302887784,-127102.5813681242
1610828.2580491514,-812325.8107857013
1271916.9768337852,-1411038.4028952648
856997.405759851,-1590427.2454919543
970427.7291074786,-1565427.6704202606
1404564.9064525333,-2087201.827100605
2933244.083596932,-5985068.592700103
-13193173.9103991,-3895517.938754891
-1576232.2595165048,3490346.912039819
-959203.0792452053,820983.6289391736
-1041058.7053720027,148016.62072124868
-875447.0991295169,493734.994491181
-933534.8978664197,111374.3887142524
-1042331.8626868647,473164.1958928538
-621802.1791404863,957221.0316069677
-518716.11077760044,675711.3403103906
-323050.06288745464,810618.0010824383
-315213.8798543408,833882.9185026932
14499.567432554031,698179.2749392814
77198.02955940501,510336.5474952528
76457.71853962152,457752.0069325598
212715.24919022122,385221.8703908565
192814.19776412926,384860.09827787004
371887.3838559061,136333.4310866722
138572.54126443274,-59179.79372008394
1820.0295785410258,-180517.89844915268
-134016.93418614398,-8143.563273723304
118068.81748779496,-176177.26933905337
-1423222.9014143017,1028975.8318190478
280567.2984468397,448910.2966350438
105882.70183930072,210755.9869588766
-49117.382932352986,99511.99197716816
-82357.09741682521,166612.8175370003
-18106.731474890305,380365.4323781955
274590.9956836048,259006.9240667093
176744.86512005556,6427.288150983399
65792.9820268502,7547.349214011949
74167.87636789048,12729.935958092017
-1625.3123269240668,-38696.95860505568
-9783.405296202942,-23167.943537244057
-26402.035950079713,21431.74226994052
-97510.50202421792,76581.45524727703
-20313.354427249105,168348.28551162733
39449.67193633465,122711.4951413022
82284.75249747912,40110.4693875733
76999.19677053075,816.6023560265703
-23491.223589637222,-2645.937524923739
29273.282549021344,92916.70436447454
72908.37631989847,2899.089380101578
-15662.800281508753,-117657.53487056677
-152609.70913270253,14147.126067740819
-66243.05401895611,75422.66156287446
-22092.744855946214,28400.519231251907
-26054.23142259725,-39762.84962997508
-124551.40570810813,-78996.83717408062
-295079.05587021355,26601.82513909741
-281714.9270057017,275522.00614568574
-91525.19568069774,362037.0492682614
128870.02318343904,334171.6794379506
219030.412114032,63123.93004800769
75974.70234057136,64177.487307824325
57361.7777962258,60281.42861956947
92906.50549317493,31895.034012474003
37628.63119521421,14635.943574198707
-32702.23820590986,63479.735015179904
6408.520766936323,133281.48614823644
-31195.07258624144,78340.28891110381
-60991.595510944164,107120.99989385068
-106842.80561812775,226885.9243436312
20590.876258777418,396387.12258791213
309761.5331969854,441413.49890374043
458995.71076879627,183949.08509889978
688894.4584341132,27024.440400921903
221264.57118672857,-495386.7446996329
12013.269713435648,-163363.02446757854
68153.8600628227,-96424.01425663
84827.4969669295,-81518.55839992387
158374.17189296943,-63958.52464247619
114880.20105715693,-229423.52470691316
-99422.66195342725,-204547.44513762006
-156321.4870770198,24195.123189059028
56751.77747961998,156367.85992295595
172602.86671418612,32060.00191460401
230136.64561903506,53773.33977105166
329445.9330696784,-73671.38857103106
320850.05061317363,-269209.78062318306
95686.41372677125,-273317.568588684
482444.9820988075,-151710.66416121728
617837.0160254585,-909911.61703646
-66767.97621541673,-1378074.1040356436
-1134241.212823729,-1251591.6953162637
-1497304.9488303636,-281650.67779454443
-834985.8495281825,461555.9591858818
-500727.0337889774,357617.6345296542
-492918.96096879,186101.5020996463
-870808.0252395533,403697.7795208092
-552189.9630139382,1165582.5594354803
457793.65711311856,1602348.5341282582
1417414.1556786061,617602.7206026725
808937.4388823623,-308372.3777836503
564948.8373410396,-1106629.5283677138
-189151.7802494671,-668670.3328323435
-425470.7430665857,-133354.95717745728
38362.06474820935,135976.98247100777
375571.2007025103,-167032.40459277085
82767.77604983645,-553869.9277781905
-57619.0542771185,-676994.7823637782
-338899.53248137893,-895786.4864493512
-1115249.5470249997,82439.33862118925
-739874.7330857633,-32514.800362390943
-576557.1386763736,122655.71396782307
-472155.18403067766,309252.08418028045
-402032.39316653664,11169.426622479219
-457939.653850043,462386.8305430386
-444255.28880913823,562357.8262377591
-97097.4962624184,672310.0076035479
11794.963692691537,715692.2243109647
209322.51049693863,770502.1409018293
396134.64308705775,319305.8749146077
351222.62090496963,181184.10616243363
241817.04022691143,137727.69163339888
211494.86048074826,72133.77043384104
74718.54447274114,8800.29460871459
-4166.540048978822,84977.83924893325
-84182.29759494458,159066.63330025156
55907.08558662974,265004.19700054283
217392.8070831832,317804.9450987342
200355.01500487534,147727.0629251677
247820.09250228692,179496.86438684704
366132.49731684086,47797.49597745012
261213.40277496068,-101816.54354996167
-10154.723174970122,-113785.26888246174
62972.24170257062,30481.161661170554
88520.84711100737,-55674.664276668846
-108848.52256061917,-126438.86480354228
-212663.16870364858,33189.956144628115
-309140.3967031382,285707.9244181545
-299897.84734991984,671073.1132177582
363306.714168955,905677.7385503034
1176532.042059862,598907.362540053
1035407.4028029949,-464927.73712417774
245244.2293689559,-792720.0915754044
-251876.0197452111,-386045.3359456239
-120163.80613441818,22622.503508198846
202565.9178992983,8033.557236957232
116696.53521337747,-302277.5963443738
-335747.9505076762,-299500.71227639006
-481571.25648007577,263105.00594426587
-7323.513086199846,506860.72135589924
330265.6724099029,203214.66541460252
165205.11255171703,5090.998232998639
88311.76289260521,18052.495799760894
24553.4947412319,77345.82948518518
33009.25283050626,186735.6760628644
159663.99783517697,285581.1701195598
317537.1530256017,219358.85987717623
363756.5548867256,137631.75077338362
403245.9691426784,184449.78946129268
1149205.2919187068,-272112.505205554
117901.23558697768,-396623.8295839196
77363.44119689357,-286858.05706024496
34386.43284792212,-155308.6589557972
191922.73962287785,-44885.753332326734
390388.9062740434,-366532.7393750377
-334225.9723681257,-448260.5634167781
-94886.20265156144,103334.47855726854
91834.1297939023,-35183.0365343043
68736.02950254356,-74792.86588085521
106703.29744031781,-78989.89307668926
95701.19479641088,-183933.45238507452
-16859.337281399858,-149396.85121524712
3155.0574258767465,-53639.868599392634
76217.64217269307,-66048.3406718634
46734.67682124186,-79054.0062988825
93373.34836938599,-18262.161259389035
240736.38851167282,-114954.3429428991
159957.93658902677,-334446.6099331601
-95512.0816204536,-328203.5930039569
-131525.84535525626,-60164.78210988728
146513.04687461135,57165.47666537015
391540.9119929976,-248794.1231470785
123633.4301963842,-574055.6963585004
-217360.97793416714,-433232.2879533744
-248836.54045672872,-170737.87355575006
-89974.92054894273,-117107.86739844028
-67253.20935453849,-178557.24856174423
1306.029537861894,-275938.601050705
-193047.8430672704,-393361.3020563326
-222993.32305556617,-271781.34511831164
-253800.5357302964,-258427.95662505127
-318006.26415395306,-251198.93792150152
-356118.8800211818,-129964.04438654675
-306762.12954414403,-41509.44041439758
-250101.62454316963,-130637.97200332241
-346181.5929241707,-200277.86154237378
-438909.0804546244,-84811.088805827
-545220.3436552316,-49791.342474119105
-612612.7496319923,238205.64072897576
-403590.7317450396,357873.0111040176
